term	definition	term_links	wikidata_qid
minor premise	Statement in an argument.	https://en.wiktionary.org/wiki/minor_premise	
modus inveniendi	From [Latin](https://en.wikipedia.org/wiki/Latin). Material used to understand the scriptures. ([Augustine of Hippo](https://en.wikipedia.org/wiki/Augustine_of_Hippo))	https://en.wiktionary.org/wiki/modus_inveniendi	
modus proferendi	From [Latin](https://en.wikipedia.org/wiki/Latin). expressing ideas found within the scriptures. ([Augustine of Hippo](https://en.wikipedia.org/wiki/Augustine_of_Hippo))	https://en.wiktionary.org/wiki/modus_proferendi	
moral reasoning	Reasoning employed in rhetoric that determines a conclusion based on evidence. Used in issues of ethics, religion, economics, and politics.	https://en.wiktionary.org/wiki/moral_reasoning	
motive	Something that plays a role in one's decision to act.	https://en.wiktionary.org/wiki/motive	
movere	To persuade; viewed by [Cicero](https://en.wikipedia.org/wiki/Cicero) as one of the three goals of rhetoric.	https://en.wiktionary.org/wiki/movere	
narratio	A presentation of essential facts in a judicial speech.	https://en.wiktionary.org/wiki/narratio	
narration	Story telling, involving the elements of time, place, actor, action, cause and manner.	https://en.wiktionary.org/wiki/narration	
necessary cause	Cause without which effect couldn't/wouldn't have occurred.	https://en.wiktionary.org/wiki/necessary_cause	
negatio	To negate or deny.	https://en.wiktionary.org/wiki/negatio	
neoplatonism	School of thought emanating from the works of [Plato](https://en.wikipedia.org/wiki/Plato) and [Aristotle](https://en.wikipedia.org/wiki/Aristotle) in early B.C.E. Rome.	https://en.wiktionary.org/wiki/neoplatonism	
noema	Speech that is deliberately subtle or obscure.	https://en.wiktionary.org/wiki/noema	
nomos	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). a social custom or convention.	https://en.wiktionary.org/wiki/nomos	
non sequitur	A statement bearing no relationship to the preceding context.	https://en.wiktionary.org/wiki/non_sequitur	
notaries	Secretaries trained in rhetoric for dealing with the agreements that were needed for commercial cities in Italy to function.	https://en.wiktionary.org/wiki/notaries	
oictos	To show pity or compassion.	https://en.wiktionary.org/wiki/oictos	
ominatio	A prophecy of evil.	https://en.wiktionary.org/wiki/ominatio	
onomatopoeia	Words that imitate the sounds, objects, or actions they refer to. (ex. "buzz", "hullabaloo," "bling")	https://en.wiktionary.org/wiki/onomatopoeia	
opening	First part of discourse. Should gain audiences' attention.	https://en.wiktionary.org/wiki/opening	
optatio	A wish exclaimed.	https://en.wiktionary.org/wiki/optatio	
orcos	An oath.	https://en.wiktionary.org/wiki/orcos	
oxymoron	A condensed paradox.	https://en.wiktionary.org/wiki/oxymoron	
paradeigma	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Argument created by a list of examples that leads to a probable generalized idea.	https://en.wiktionary.org/wiki/paradeigma	
paradox	A self-contradictory statement, which can only be true if it is false, and vice versa.	https://en.wiktionary.org/wiki/paradox	
paralipsis	When a rhetor refuses to continue with their current discussion, or passes over the rest of the conversation, or admits that they do not know what else to say. For example, (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'Your boyhood, indeed, which you dedicated to intemperance of all kinds, I would discuss, if I thought this the right time. But at the present I advisedly leave that aside. This too I pass by, that the tribunes have reported you as irregular in military service.'"	https://en.wiktionary.org/wiki/paralipsis	
parallel syntax	repetition of similar sentence structures.	https://en.wiktionary.org/wiki/parallel_syntax	
paronomasia	A play on words, often for humorous effect.	https://en.wiktionary.org/wiki/paronomasia	
particular audience	The actual audience the orator addresses. ([Chaïm Perelman](https://en.wikipedia.org/wiki/Cha%C3%AFm_Perelman) and [Lucie Olbrechts-Tyteca](https://en.wikipedia.org/wiki/Lucie_Olbrechts-Tyteca))	https://en.wiktionary.org/wiki/particular_audience	
pathos	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). The emotional appeal to an audience in an argument. One of [Aristotle](https://en.wikipedia.org/wiki/Aristotle)'s three proofs.	https://en.wiktionary.org/wiki/pathos	
perfectus orator	From [Latin](https://en.wikipedia.org/wiki/Latin). A complete orator.	https://en.wiktionary.org/wiki/perfectus_orator	
periphrasis	The substitution of many or several words where one would suffice; usually to avoid using that particular word.	https://en.wiktionary.org/wiki/periphrasis	
peroratio	From [Latin](https://en.wikipedia.org/wiki/Latin). The last section of a judicial speech were the speaker is the strongest.	https://en.wiktionary.org/wiki/peroratio	
personification	A figure of speech that gives human characteristics or inanimate objects, or represents an absent person as being present. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'But if this invincible city should now give utterance to her voice, would she not speak as follows?'"	https://en.wiktionary.org/wiki/personification	
petitio	From [Latin](https://en.wikipedia.org/wiki/Latin). In a letter, an announcement, demand, or request.	https://en.wiktionary.org/wiki/petitio	
phallogocentrism	Examines the relationship between logos (reason) and the phallus (representative of male genitalia). Just as the phallus is implicitly and sometime explicitly assumed to be the only significant sexual organ, the masculine is the accepted as the central point of reference of validity and authority for a society.	https://en.wiktionary.org/wiki/phallogocentrism	
phronesis	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). practical wisdom; common sense.	https://en.wiktionary.org/wiki/phronesis	
physis	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). the strong will rule over the weak.	https://en.wiktionary.org/wiki/physis	
pian	(Ancient China) the art of disputing.	https://en.wiktionary.org/wiki/pian	
pistis	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). belief.	https://en.wiktionary.org/wiki/pistis	
plausibility	Rhetoric that is believable right away due to its association with something that the audience already knows or has experienced.	https://en.wiktionary.org/wiki/plausibility	
pleonasm	The use of more words than necessary to express an idea.	https://en.wiktionary.org/wiki/pleonasm	
poetriae, ars	From [Latin](https://en.wikipedia.org/wiki/Latin). Poetry as an art.	https://en.wiktionary.org/wiki/poetriae,_ars	
polis	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). The city-state, especially the people in the city-state.	https://en.wiktionary.org/wiki/polis	
polyphonic	Having multiple voices.	https://en.wiktionary.org/wiki/polyphonic	
polyptoton	The repetition of a word or root in different cases or [inflections](https://en.wiktionary.org/wiki/inflection) within the same sentence.	https://en.wiktionary.org/wiki/polyptoton	
polysyndeton	The repeated use of conjunctions within a sentence, particularly where they do not necessarily have to be used.	https://en.wiktionary.org/wiki/polysyndeton	
portrayl	Describing a person clearly enough for recognition. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'I mean him, men of the jury, the ruddy, short, bent man, with white and rather curly hair, blue-grey eyes, and a huge scar on his chin, if perhaps you can recall him to memory.'"	https://en.wiktionary.org/wiki/portrayl	
position	The stance taken by a rhetor that they are attempting to prove through argumentation.	https://en.wiktionary.org/wiki/position	
positivism	Term created by [Auguste Comte](https://en.wikipedia.org/wiki/Auguste_Comte) that posits that science, math, or logic can prove any reasonable claim.	https://en.wiktionary.org/wiki/positivism	
postmodernism	Related to rhetoric, a field of inquiry concerned with the ideological underpinnings of commonly held assumptions.	https://en.wiktionary.org/wiki/postmodernism	
praedicandi, ars	From [Latin](https://en.wikipedia.org/wiki/Latin). Preaching.	https://en.wiktionary.org/wiki/praedicandi,_ars	
pragmatism	Field of thought positing that knowledge was fluid and that traditionally "fixed" entities (like time) were largely contextual; believed that a free society with free individuals was a viable standard for living.	https://en.wiktionary.org/wiki/pragmatism	
presence	Choosing to emphasize certain facts and ideas instead of others, leading the audience along that path. ([Chaïm Perelman](https://en.wikipedia.org/wiki/Cha%C3%AFm_Perelman) and [Lucie Olbrechts-Tyteca](https://en.wikipedia.org/wiki/Lucie_Olbrechts-Tyteca))	https://en.wiktionary.org/wiki/presence	
presumption	An idea is reasonable or acceptable only until it is sufficiently challenged.	https://en.wiktionary.org/wiki/presumption	
pronuntiato	From [Latin](https://en.wikipedia.org/wiki/Latin). The deliverary of an oration or an argument in a manner befitting the subject matter and style, while maintaining control of voice and body.	https://en.wiktionary.org/wiki/pronuntiato	
protreptic	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). The potential to persuade through language.	https://en.wiktionary.org/wiki/protreptic	
prudence	Judging practically.	https://en.wiktionary.org/wiki/prudence	
psogos	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Blame.	https://en.wiktionary.org/wiki/psogos	
psychagogos	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). A poet.	https://en.wiktionary.org/wiki/psychagogos	
psyche	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). The mind or soul.	https://en.wiktionary.org/wiki/psyche	
public sphere	Place where individuals can engage in discussion without the political or state interests interfering.	https://en.wiktionary.org/wiki/public_sphere	
purpose	What one is trying to do with their use of language.	https://en.wiktionary.org/wiki/purpose	
quadrivium	The major subjects taught in medieval times: geometry, arithmetic, atronomy, and music.	https://en.wiktionary.org/wiki/quadrivium	
quaestiones	Debatable points around which disputes are centered.	https://en.wiktionary.org/wiki/quaestiones	
reasoning by contraries	Where the first statement of two opposite statements directly proves the second. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'Or how should you expect a person whose arrogance has been insufferable in private life, to be agreeable and not forget himself when in power...?'"	https://en.wiktionary.org/wiki/reasoning_by_contraries	
rebuttal	Conditions on the acceptability of a claim. ([Stephen Toulmin](https://en.wikipedia.org/wiki/Stephen_Toulmin))	https://en.wiktionary.org/wiki/rebuttal	
res	From [Latin](https://en.wikipedia.org/wiki/Latin). An argument's subtance.	https://en.wiktionary.org/wiki/res	
rhetor	A person who is in the course of presenting or preparing rhetorical discourse.	https://en.wiktionary.org/wiki/rhetor	
rhetores	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Those who make a living by speaking persuasively.	https://en.wiktionary.org/wiki/rhetores	
rhetoric	The study and practice of good effective expression. Also, a type of discourse focusing on goals of the speech or piece of writing that attempts to sway the mind of the audience.	https://en.wiktionary.org/wiki/rhetoric	
rhetorical audience	Those who can be persuaded by rhetoric.	https://en.wiktionary.org/wiki/rhetorical_audience	
rhetorical discourse	Discourse created within the boundary of the principles of rhetoric.	https://en.wiktionary.org/wiki/rhetorical_discourse	
rhetorical opposition	[Protagoras](https://en.wikipedia.org/wiki/Protagoras)'s idea that there are two sides to everything.	https://en.wiktionary.org/wiki/rhetorical_opposition	
rhetorical situation	A term made popular by [Lloyd Bitzer](https://en.wikipedia.org/wiki/Lloyd_Bitzer); describes the scenario that contains a speech act, including the considerations (purpose, audience, author/speaker, constraints to name a few) that play a role in how the act is produced and perceived by its audience. The counterargument regarding Bitzer's situation-rhetoric relationship was made by [Richard E. Vatz](https://en.wikipedia.org/wiki/Richard_E._Vatz) in "The Myth of the Rhetorical Situation." He argued for a salience-meaning (or now, agenda-framing-spin) model of persuasion, which emphasized rhetoric as a creative act with increased agent or persuader responsibility for the situation their rhetoric creates. He maintained this added to the importance of rhetorical study.	https://en.wiktionary.org/wiki/rhetorical_situation	
rhetorical theory	The organized presentation of the art or rhetoric, descriptions of the various functions of rhetoric, and clarifications of how rhetoric achieves its goals.	https://en.wiktionary.org/wiki/rhetorical_theory	
rhetoric of fiction	[Wayne Booth](https://en.wikipedia.org/wiki/Wayne_Booth)'s idea that "the author's judgement is always present" in a narrative.	https://en.wiktionary.org/wiki/rhetoric_of_fiction	
salon	Intellectual assembly in an aristocratic setting; primarily associated with France in the 1600s and 1700s.	https://en.wiktionary.org/wiki/salon	
salutatio	From [Latin](https://en.wikipedia.org/wiki/Latin). A written greeting.	https://en.wiktionary.org/wiki/salutatio	
sannio	From [Latin](https://en.wikipedia.org/wiki/Latin). The fool. The role to avoid when using humor in a speech.	https://en.wiktionary.org/wiki/sannio	
scholasticism	Rhetorical study of Christianity that was intellectually prominent in 11th-15th Century Western Europe, emphasizing rhetorical concepts by [Aristotle](https://en.wikipedia.org/wiki/Aristotle) and a search for universal truth.	https://en.wiktionary.org/wiki/scholasticism	
scientific method	A system of observing and analyzing data through induction; prominent school of thought since the 1600s whose proponents are often critical of rhetoric.	https://en.wiktionary.org/wiki/scientific_method	
scientific reasoning	Moving from axioms to actual conclusions. Also, syllogistic logic.	https://en.wiktionary.org/wiki/scientific_reasoning	
scientism	Applying scientific assumptions to subjects that are not completely natural. ([Richard M. Weaver](https://en.wikipedia.org/wiki/Richard_M._Weaver))	https://en.wiktionary.org/wiki/scientism	
scientistic	Way of looking at the nature of language as a way of naming or defining something. ex. "It is" or "It is not." ([Kenneth Burke](https://en.wikipedia.org/wiki/Kenneth_Burke))	https://en.wiktionary.org/wiki/scientistic	
second sophistic	Rhetorical era in Rome that dealt primarily with rhetorical style through some of the Greek Sophists' concepts, while neglecting its political and social uses because of censorship.	https://en.wiktionary.org/wiki/second_sophistic	
semantics	Philosophical study of language that deals with its connection to perceptions of reality.	https://en.wiktionary.org/wiki/semantics	
semiotics	Branch of semantics concerning language and communication as a system of symbols.	https://en.wiktionary.org/wiki/semiotics	
senatus	[Latin](https://en.wikipedia.org/wiki/Latin) for "senate". The group of elders who governed Rome.	https://en.wiktionary.org/wiki/senatus	
sensus communis	a society's basic beliefs and values.	https://en.wiktionary.org/wiki/sensus_communis	
sententia	Applying a general truth to a situation by quoting a maxim or other wise saying as a conclusion or summary of that situation.	https://en.wiktionary.org/wiki/sententia	
shui	Formal persuasion in ancient China.	https://en.wiktionary.org/wiki/shui	
sign	Term from [semiotics](https://en.wiktionary.org/wiki/semiotics) that describes something that has meaning through its connection to something else, like words.	https://en.wiktionary.org/wiki/sign	
signifying	Term from [semiotics](https://en.wiktionary.org/wiki/semiotics) that describes the method through which meaning is created with arbitrary signs.	https://en.wiktionary.org/wiki/signifying	
simile	A figure of speech that compares unlike things, implying a resemblance between them. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'He entered the combat in body like the strongest bull, in impetuosity like the fiercest lion.'"	https://en.wiktionary.org/wiki/simile	
skepticism	Type of thought that questions whether universal truth exists and is attainable by humans.	https://en.wiktionary.org/wiki/skepticism	
solecismus	Ignorantly misusing tenses, cases, and genders.	https://en.wiktionary.org/wiki/solecismus	
sophists	Considered the first professional teachers of oratory and rhetoric, in 4th century BC Ancient Greece.	https://en.wiktionary.org/wiki/sophists	
soraismus	The ignorant or affected mingling of languages.	https://en.wiktionary.org/wiki/soraismus	
Sprezzatura	The ability to appear that there is seemingly little effort used to attain success. The art of being able to show that one is able to deceive. ([Baldessare Castiglione](https://en.wikipedia.org/wiki/Baldessare_Castiglione))	https://en.wiktionary.org/wiki/Sprezzatura	
starting points	The place between the speaker and audience where the argument can begin. ([Chaïm Perelman](https://en.wikipedia.org/wiki/Cha%C3%AFm_Perelman) and [Lucie Olbrechts-Tyteca](https://en.wikipedia.org/wiki/Lucie_Olbrechts-Tyteca))	https://en.wiktionary.org/wiki/starting_points	
stasis system	System of finding arguments by means of looking at ideas that are contradictory.	https://en.wiktionary.org/wiki/stasis_system	
status quo	From [Latin](https://en.wikipedia.org/wiki/Latin). The generally accepted existing condition or state of affairs.	https://en.wiktionary.org/wiki/status_quo	
studia humanitas	From [Latin](https://en.wikipedia.org/wiki/Latin). Humanistic studies deemed indispensable in Renaissance-era education; rhetoric, poetics, ethics, politics.	https://en.wiktionary.org/wiki/studia_humanitas	
syllepsis	A word modifying others in appropriate, though often incongruous ways. This is a similar concept to [zeugma](https://en.wiktionary.org/wiki/zeugma).	https://en.wiktionary.org/wiki/syllepsis	
syllogism	A type of [valid](https://en.wiktionary.org/wiki/valid) argument that states if the first two claims are true, then the conclusion is true. For example, "(claim 1) People are mortal; (claim 2) Bob is a person. Therefore, (claim 3) Bob is mortal." Started by [Aristotle](https://en.wiktionary.org/wiki/Aristotle).	https://en.wiktionary.org/wiki/syllogism	
syllogistic logic	See scientific reasoning.	https://en.wiktionary.org/wiki/syllogistic_logic	
symbol	A visual or metaphorical representation of an idea or concept.	https://en.wiktionary.org/wiki/symbol	
symbolic inducement	Term coined by [Kenneth Burke](https://en.wikipedia.org/wiki/Kenneth_Burke) to refer to rhetoric.	https://en.wiktionary.org/wiki/symbolic_inducement	
sympheron	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Path that is to one's advantage.	https://en.wiktionary.org/wiki/sympheron	
synchysis	Word order confusion within a sentence.	https://en.wiktionary.org/wiki/synchysis	
syncope	The omission of letters from the middle of a word, usually replaced by an [apostrophe](https://en.wiktionary.org/wiki/apostrophe).	https://en.wiktionary.org/wiki/syncope	
synecdoche	A rhetorical device were one part of an object is used to represent the whole.	https://en.wiktionary.org/wiki/synecdoche	
tapinosis	Language or an [epithet](https://en.wiktionary.org/wiki/epithet) that is debasing. This term is synonymous with [meiosis](https://en.wiktionary.org/wiki/meiosis).	https://en.wiktionary.org/wiki/tapinosis	
taste	A learned admiration for things of beauty.	https://en.wiktionary.org/wiki/taste	
tautologia	The same idea repeated in different words.	https://en.wiktionary.org/wiki/tautologia	
taxis	The distribution of a proper adjunct to every subject.	https://en.wiktionary.org/wiki/taxis	
techne	[Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) for a true art.	https://en.wiktionary.org/wiki/techne	
terministic screens	Term coined by [Kenneth Burke](https://en.wikipedia.org/wiki/Kenneth_Burke) to explain the way in which the world is viewed when taking languages and words into consideration.	https://en.wiktionary.org/wiki/terministic_screens	
theme	The basic principle pulled from the Bible in order to create a sermon.	https://en.wiktionary.org/wiki/theme	
thesis	The major claim or premise made in an argument to be proved or dis-proved.	https://en.wiktionary.org/wiki/thesis	
thesmos	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). The law that comes from the authority of kings.	https://en.wiktionary.org/wiki/thesmos	
tone	The author's voice in an essay through use of figurative language or a style of enunciation in writing (also known as a [diction](https://en.wiktionary.org/wiki/diction)). The way the author expresses themself out loud or through a character.	https://en.wiktionary.org/wiki/tone	
topical systems	Methods for finding arguments.	https://en.wiktionary.org/wiki/topical_systems	
topographia	The description of a place.	https://en.wiktionary.org/wiki/topographia	
topothesia	The description of an imaginary or non-existent place.	https://en.wiktionary.org/wiki/topothesia	
Topos	A line or specific style of argument.	https://en.wiktionary.org/wiki/Topos	
Toulmin model	A method of diagraming arguments created by Stephen Toulmin that identifies such components as [backing](https://en.wiktionary.org/wiki/backing), [claim](https://en.wiktionary.org/wiki/claim), [data](https://en.wiktionary.org/wiki/data), [qualifier](https://en.wiktionary.org/wiki/qualifier), [rebuttal](https://en.wiktionary.org/wiki/rebuttal), and warrant.	https://en.wiktionary.org/wiki/Toulmin_model	
transgression	Reading a text and looking for the deeper meanings instead of the obvious ones.	https://en.wiktionary.org/wiki/transgression	
translative issue	Dealing with procedure of an ensuing case.	https://en.wiktionary.org/wiki/translative_issue	
tricolon	The pattern of three phrases in parallel, found commonly in Western writing after [Cicero](https://en.wikipedia.org/wiki/Cicero). For example, the kitten had white fur, blue eyes, and a pink tongue.	https://en.wiktionary.org/wiki/tricolon	
trivium	From [Latin](https://en.wikipedia.org/wiki/Latin). Grammar, rhetoric, and logic taught in schools during the medieval period.	https://en.wiktionary.org/wiki/trivium	
tropes	Figure of speech that uses a word aside from its literal meaning.	https://en.wiktionary.org/wiki/tropes	
understatement	A form of irony, also called [litotes](https://en.wiktionary.org/wiki/litotes), in which something is represented as less than it really is, with the intent of drawing attention to and emphasizing the opposite meaning.	https://en.wiktionary.org/wiki/understatement	
universal audience	An audience consisting of all humankind (most specifically of adult age and normal mental capacity).	https://en.wiktionary.org/wiki/universal_audience	
uomo universale	The universal man.	https://en.wiktionary.org/wiki/uomo_universale	
utterance	Statement that could contain meaning about one's own person.	https://en.wiktionary.org/wiki/utterance	
validity	Apprehension over the structure of an argument.	https://en.wiktionary.org/wiki/validity	
validity claim	Claiming to have made a correct statement.	https://en.wiktionary.org/wiki/validity_claim	
verba	From [Latin](https://en.wikipedia.org/wiki/Latin). The part of an argument that advances the subject matter.	https://en.wiktionary.org/wiki/verba	
visual rhetoric	A theoretical framework describing how visual images communicate, as opposed to aural or verbal messages.	https://en.wiktionary.org/wiki/visual_rhetoric	
vir bonus beni dicendi	From [Latin](https://en.wikipedia.org/wiki/Latin). The good man speaking well.	https://en.wiktionary.org/wiki/vir_bonus_beni_dicendi	
vita activa	A life lived in active involvement in the political arena.	https://en.wiktionary.org/wiki/vita_activa	
warrant	term used by [Stephen Toulmin](https://en.wikipedia.org/wiki/Stephen_Toulmin) to establish a link between data and a claim.	https://en.wiktionary.org/wiki/warrant	
ways and means	One of the five main matters that [Aristotle](https://en.wikipedia.org/wiki/Aristotle) claims political speakers make speeches on. It consists of the speaker's country's revenue and sources, as well as the expenditures of the country.	https://en.wiktionary.org/wiki/ways_and_means	
zeugma	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_ζεῦγμα_](https://en.wiktionary.org/wiki/%CE%B6%CE%B5%E1%BF%A6%CE%B3%CE%BC%CE%B1#Ancient_Greek) (zeûgma, “[yoking](https://en.wiktionary.org/wiki/yoke)”). A figure of speech in which one word applies to two others in different senses of that word, and in some cases only logically applies to one of the other two words. This is a similar concept to [syllepsis](https://en.wiktionary.org/wiki/syllepsis).	https://en.wiktionary.org/wiki/zeugma	
