term	definition	term_links
proteze	druh [epenteze](#epenteze), předsouvání [hlásky](#hláska) (resp. její vkládání) před začátek [slova](#slovo) pro ulehčení výslovnosti obtížně artikulovaných shluků; např. [nářeční](#nářečí) [Holomóc](https://cs.wiktionary.org/wiki/Holomóc) místo [Olomouc](https://cs.wiktionary.org/wiki/Olomouc), obecné [vokno](https://cs.wiktionary.org/wiki/vokno?action=edit&redlink=1) místo [okno](https://cs.wiktionary.org/wiki/okno) apod.; viz [Wikipedie](https://cs.wikipedia.org/wiki/Proteze)	https://cs.wiktionary.org/wiki/proteze?action=edit&redlink=1
proverbium	viz [přísloví](#přísloví)	https://cs.wiktionary.org/wiki/proverbium?action=edit&redlink=1
proziopeze	viz [afereze](#afereze)	https://cs.wiktionary.org/wiki/proziopeze?action=edit&redlink=1
předložka(téžprepozice)	[slovní druh](#slovní_druh) vyjadřující především vztah mezi [slovesem](#sloveso) a [substantivem](#substantivum) _(mluvit o dovolené)_, řidčeji mezi [substantivy](#substantivum) navzájem _(otec s matkou)_ nebo modifikující [substantivum](#substantivum) v samostatnou [adverbiální](#adverbium) konstrukci _(v pátek)_; viz [Wikipedie](https://cs.wikipedia.org/wiki/Předložka)	https://cs.wiktionary.org/wiki/předložka, https://cs.wiktionary.org/wiki/prepozice
předpona		https://cs.wiktionary.org/wiki/předpona
přechodník		https://cs.wiktionary.org/wiki/přechodník?action=edit&redlink=1
přezdívka		https://cs.wiktionary.org/wiki/přezdívka
příčestí	tvar tvořený ze slovesných [kmenů](#kmen) mající některé vlastnosti společné se slovesy (zvl. vyjadřování událostí/dějů), jiné naopak s adjektivy (zvl. vyjadřování stavu), ale v obou případech mající na pravé periferii flexi, která vyjadřuje jako výraz ↗shody s jménem rysy rodu, čísla, pádu, které má toto jméno	https://cs.wiktionary.org/wiki/příčestí
přídavné jméno	viz [adjektivum](#adjektivum)	https://cs.wiktionary.org/wiki/přídavné_jméno
příjmí		https://cs.wiktionary.org/wiki/příjmí
příjmení		https://cs.wiktionary.org/wiki/příjmení
přípona		https://cs.wiktionary.org/wiki/přípona
příslovce(téžadverbium)	[slovní druh](#slovní_druh) pojmenovávající především názvy okolností procesů nebo okolností vlastností, vyjadřuje tedy kvantitu nebo kvalitu, místo, čas, způsob, míru, příčinu aj.; viz [Wikipedie](https://cs.wikipedia.org/wiki/Příslovce)	https://cs.wiktionary.org/wiki/příslovce, https://cs.wiktionary.org/wiki/adverbium
příslovečné určení(téžadverbiale)	[větný člen](#větný_člen) obvykle rozvíjející [sloveso](#sloveso) významem okolností, zejména místa, času, způsobu, příčiny apod.; viz [Wikipedie](https://cs.wikipedia.org/wiki/Příslovečné%20určení)	https://cs.wiktionary.org/wiki/příslovečné_určení?action=edit&redlink=1, https://cs.wiktionary.org/wiki/adverbiale?action=edit&redlink=1
přísloví(téžadagium[29],proverbium[35])	ustálený [větný](#věta) výraz (někdy [metaforický](#metafora)) vyjadřující poučení založené na tradované zkušenosti; viz [Wikipedie](https://cs.wikipedia.org/wiki/Přísloví)	https://cs.wiktionary.org/wiki/přísloví, https://cs.wiktionary.org/wiki/adagium?action=edit&redlink=1, https://cs.wiktionary.org/wiki/proverbium?action=edit&redlink=1
přísudek	viz [predikát](#predikát)	https://cs.wiktionary.org/wiki/přísudek
přisuzování	viz [predikace](#predikace)	https://cs.wiktionary.org/wiki/přisuzování?action=edit&redlink=1
přízvuk		https://cs.wiktionary.org/wiki/přízvuk
příznak		https://cs.wiktionary.org/wiki/příznak
pseudoandronym(téžpseudoandronymum)	[pseudonym](#pseudonym) ženy obsahující alespoň jedno jméno mužské (např. _Jiří Sumín_ — vlastním jménem Amálie Vrbová)	https://cs.wiktionary.org/wiki/pseudoandronym?action=edit&redlink=1, https://cs.wiktionary.org/wiki/pseudoandronymum?action=edit&redlink=1
pseudonym(téžpseudonymum)		https://cs.wiktionary.org/wiki/pseudonym, https://cs.wiktionary.org/wiki/pseudonymum?action=edit&redlink=1
pseudogynekonym(téžpseudogynekonymum)	[pseudonym](#pseudonym) muže obsahující alespoň jedno jméno ženské (např. _Jaroslav Maria_ — vlastním jménem Jaroslav Mayer)	https://cs.wiktionary.org/wiki/pseudogynekonym?action=edit&redlink=1, https://cs.wiktionary.org/wiki/pseudogynekonymum?action=edit&redlink=1
rod jmenný(téžgenus)	kategorie [jmen](#jméno) sloužící k bližšímu členění [substantiv](#substantivum), zvláště pro účely [flexe](#flexe); počet rodů se liší dle [jazyků](#jazyk); slovanské jazyky (včetně češtiny) rozlišují [maskulinum](#maskulinum), [femininum](#femininum) a [neutrum](#neutrum), přičemž vnitřní členění [maskulin](#maskulinum) na [životná](#animatum) a [neživotná](#inanimatum) vlastně vytváří rod čtvrtý; viz [Wikipedie](https://cs.wikipedia.org/wiki/Jmenný%20rod)	https://cs.wiktionary.org/wiki/rod_jmenný?action=edit&redlink=1
rod slovesný(téžgenus verbi)	[gramatická](#gramatika) kategorie [slovesa](#sloveso) vyjadřující vztah [slovesného](#sloveso) děje a jeho [agentu](#agens), resp. [subjekt](#subjekt) [věty](#věta); viz [Wikipedie](https://cs.wikipedia.org/wiki/Slovesný%20rod)	https://cs.wiktionary.org/wiki/rod_slovesný?action=edit&redlink=1
rodné jmeno(téžkřestní jméno)	jméno či soustava jmen, pod kterými je jednotlivý člověk znám; viz [Wikipedie](https://cs.wikipedia.org/wiki/Rodné%20jméno)	https://cs.wiktionary.org/wiki/rodné_jmeno?action=edit&redlink=1, https://cs.wiktionary.org/wiki/křestní_jméno
sémantika	[lingvistická](#lingvistika) disciplína zabývající se významem a použití [jazykových jednotek](#jazyková_jednotka), [znaků](#znak) a jejich řetězců; viz [Wikipedie](https://cs.wikipedia.org/wiki/Sémantika)	https://cs.wiktionary.org/wiki/sémantika
sémiotika	obecná nauka o znacích a znakových systémech; viz [Wikipedie](https://cs.wikipedia.org/wiki/Sémiotika)	https://cs.wiktionary.org/wiki/sémiotika
singulár		https://cs.wiktionary.org/wiki/singulár
singulare tantum		https://cs.wiktionary.org/wiki/singulare_tantum
slabika		https://cs.wiktionary.org/wiki/slabika
slang		https://cs.wiktionary.org/wiki/slang
slovesné podstatné jméno	viz [verbální substantivum](#verbální_substantivum)	https://cs.wiktionary.org/wiki/slovesné_podstatné_jméno?action=edit&redlink=1
sloveso(téžverbum)	[slovní druh](#slovní_druh), jehož hlavní funkcí je tvořit [predikát](#predikát) (přísudek) (resp. jeho základ), tedy vypovídat něco o [subjektu](#subjekt), pojmenovávat stav nebo jeho změnu; viz [Wikipedie](https://cs.wikipedia.org/wiki/Sloveso)	https://cs.wiktionary.org/wiki/sloveso, https://cs.wiktionary.org/wiki/verbum
slovní druh	základní jazyková kategorie; obecná třída zahrnující tu část [slovní zásoby](#slovní_zásoba) [jazyka](#jazyk), která má (zejména) společnou funkci nebo podobný typ významů; viz [Wikipedie](https://cs.wikipedia.org/wiki/Slovní%20druh)	https://cs.wiktionary.org/wiki/slovní_druh
slovní základ		https://cs.wiktionary.org/wiki/slovní_základ?action=edit&redlink=1
slovo		https://cs.wiktionary.org/wiki/slovo
slovotvorba		https://cs.wiktionary.org/wiki/slovotvorba?action=edit&redlink=1
spojka(téžkonjunkce)	[slovní druh](#slovní_druh) označující vztah, resp. vyznačující druh spojení mezi [slovy](#slovo), výrazy nebo [větami](#věta); viz [Wikipedie](https://cs.wikipedia.org/wiki/Spojka%20(slovní%20druh))	https://cs.wiktionary.org/wiki/spojka, https://cs.wiktionary.org/wiki/konjunkce
spona(téžkopula)		https://cs.wiktionary.org/wiki/spona?action=edit&redlink=1, https://cs.wiktionary.org/wiki/kopula
spřežka		https://cs.wiktionary.org/wiki/spřežka?action=edit&redlink=1
status absolutus		https://cs.wiktionary.org/wiki/status_absolutus?action=edit&redlink=1
status constructus	zvláštní tvar [substantiva](#substantivum) v některých jazycích (např. v hebrejštině), který vyjadřuje určitý vztah (zejména [posesivní](#posesivita) nebo [genitivní](#genitiv)) k následujícímu [substantivu](#substantivum), tzv. [statutu absolutu](#status_absolutus)	https://cs.wiktionary.org/wiki/status_constructus?action=edit&redlink=1
status determinatus		https://cs.wiktionary.org/wiki/status_determinatus?action=edit&redlink=1
subjekt(téžpodmět)	jeden ze dvou základních [větných členů](#větný_člen) obvykle (v [aktivní](#aktivum) [větě](#věta)) vyjadřující [agenta](#agens), jemuž se v [predikátu](#predikát) přisuzuje nějaký děj, stav ap.; viz [Wikipedie](https://cs.wikipedia.org/wiki/Podmět)	https://cs.wiktionary.org/wiki/subjekt, https://cs.wiktionary.org/wiki/podmět
subjunktiv		https://cs.wiktionary.org/wiki/subjunktiv?action=edit&redlink=1
sublativ		https://cs.wiktionary.org/wiki/sublativ?action=edit&redlink=1
substantivum(téžpodstatné jméno)	základní (a nejpočetnější) [slovní druh](#slovní_druh) pojmenovávající různé entity, resp. substance (názvy osob, zvířat, věcí konkrétních i abstraktních, míst apod.); ve [větě](#věta) může plnit funkci [subjektu](#subjekt) i [objektu](#objekt); viz [Wikipedie](https://cs.wikipedia.org/wiki/Podstatné%20jméno)	https://cs.wiktionary.org/wiki/substantivum, https://cs.wiktionary.org/wiki/podstatné_jméno
substantivum verbale	viz [verbální substantivum](#verbální_substantivum)	https://cs.wiktionary.org/wiki/substantivum_verbale?action=edit&redlink=1
sufix	viz [přípona](#přípona)	https://cs.wiktionary.org/wiki/sufix
sufixace	tvoření [slov](#slovo) připojením [přípony](#přípona) za [kmen](#kmen) základu (např. slovo [sadař](https://cs.wiktionary.org/wiki/sadař) vzniklo připojením [přípony](#přípona) [-ař](https://cs.wiktionary.org/wiki/-ař) za [kmen](#kmen) [sad](https://cs.wiktionary.org/wiki/sad)); dále též tvoření [slov](#slovo) za pomocí [slovního základu](#slovní_základ) bez připojení [přípony](#přípona) (např. [vrhnout](https://cs.wiktionary.org/wiki/vrhnout) -> [vrh](https://cs.wiktionary.org/wiki/vrh)) nebo jen s připojením [koncovky](#koncovka) (např. [ztratit](https://cs.wiktionary.org/wiki/ztratit)->[ztráta](https://cs.wiktionary.org/wiki/ztráta), [-a](https://cs.wiktionary.org/wiki/-a?action=edit&redlink=1) je [koncovka](#koncovka), nikoli přípona	https://cs.wiktionary.org/wiki/sufixace?action=edit&redlink=1
superesiv		https://cs.wiktionary.org/wiki/superesiv?action=edit&redlink=1
superlativ		https://cs.wiktionary.org/wiki/superlativ
terminativ		https://cs.wiktionary.org/wiki/terminativ?action=edit&redlink=1
theonymum	[vlastní jméno](#vlastní_jméno) bohů a bohyň (např. Perun, Diana)	https://cs.wiktionary.org/wiki/theonymum?action=edit&redlink=1
totalizátor	[slovo](#slovo) vyjadřující úplnost celku; v češtině sem patří [zájmena](#zájmena) [všechen](https://cs.wiktionary.org/wiki/všechen), [veškerý](https://cs.wiktionary.org/wiki/veškerý), [každý](https://cs.wiktionary.org/wiki/každý), [sám](https://cs.wiktionary.org/wiki/sám), [příslovce](#příslovce) [vždy](https://cs.wiktionary.org/wiki/vždy), [všude](https://cs.wiktionary.org/wiki/všude), [pokaždé](https://cs.wiktionary.org/wiki/pokaždé) a [číslovka](#číslovka) [oba](https://cs.wiktionary.org/wiki/oba)	https://cs.wiktionary.org/wiki/totalizátor
transgresiv	viz [přechodník](#přechodník)	https://cs.wiktionary.org/wiki/transgresiv?action=edit&redlink=1
translativ		https://cs.wiktionary.org/wiki/translativ?action=edit&redlink=1
tranzitivní		https://cs.wiktionary.org/wiki/tranzitivní
triál		https://cs.wiktionary.org/wiki/triál?action=edit&redlink=1
univerbizace		https://cs.wiktionary.org/wiki/univerbizace
úsloví		https://cs.wiktionary.org/wiki/úsloví?action=edit&redlink=1
utrum(téžspolečný rod,commune)	[jmenný rod](#jmenný_rod), vyskytující se například ve švédštině, kde vznikl sloučením [rodů mužského](#rod_mužský) a [ženského](#rod_ženský), zatímco [rod střední](#rod_střední) zůstal nedotčen	https://cs.wiktionary.org/wiki/utrum, https://cs.wiktionary.org/wiki/společný_rod?action=edit&redlink=1, https://cs.wiktionary.org/wiki/commune
variace		https://cs.wiktionary.org/wiki/variace?action=edit&redlink=1
varianta		https://cs.wiktionary.org/wiki/varianta
varieta		https://cs.wiktionary.org/wiki/varieta?action=edit&redlink=1
verbální substantivum(téžslovesné podstatné jméno,substantivum verbale)	substantivum derivované od slovesa; vyjádření slovesného děje substantivní formou (např. stavět – stavení); Poznámky: toto substantivum je bez větší dějové nosnosti a nehodí se tak pro vyjádření slovesného výrazu silně dějového; není schopno rozlišovat slovesný rod trpný (pasivní) nebo činný (aktivní), ani rod zvratný, proto je připisování se/sebe obvykle zbytečné a obvykle se nepřipisuje - výjimkou jsou např. pasivní děje, kde zvratné zájmeno má na sobě důraz a je v něm silné pojetí předmětu (např. „Tohle vychloubání a vynášení se nemohu ani poslouchat“.)	https://cs.wiktionary.org/wiki/verbální_substantivum?action=edit&redlink=1, https://cs.wiktionary.org/wiki/slovesné_podstatné_jméno?action=edit&redlink=1, https://cs.wiktionary.org/wiki/substantivum_verbale?action=edit&redlink=1
verbum	viz [sloveso](#sloveso)	https://cs.wiktionary.org/wiki/verbum
věta		https://cs.wiktionary.org/wiki/věta
větný člen		https://cs.wiktionary.org/wiki/větný_člen
víceslovné pojmenování		https://cs.wiktionary.org/wiki/víceslovné_pojmenování?action=edit&redlink=1
vlastní jméno		https://cs.wiktionary.org/wiki/vlastní_jméno
vokál		https://cs.wiktionary.org/wiki/vokál
vokativ		https://cs.wiktionary.org/wiki/vokativ
vpona		https://cs.wiktionary.org/wiki/vpona?action=edit&redlink=1
výpůjčka		https://cs.wiktionary.org/wiki/výpůjčka?action=edit&redlink=1
zájmeno(téžpronomen)	[slovní druh](#slovní_druh) sloužící především k vyjádření substituce (tedy k nahrazení [substantiv](#substantivum) a [adjektiv](#adjektivum)) a k ukazování (_tenhle_, _tamten_); viz [Wikipedie](https://cs.wikipedia.org/wiki/Zájmeno)	https://cs.wiktionary.org/wiki/zájmeno, https://cs.wiktionary.org/wiki/pronomen
záložka(téžpostpozice)	[slovní druh](#slovní_druh) vyjadřující především vztah mezi [slovesem](#sloveso) a [substantivem](#substantivum), řidčeji mezi [substantivy](#substantivum) navzájem nebo modifikující [substantivum](#substantivum) v samostatnou [adverbiální](#adverbium) konstrukci; na rozdíl od [předložek](#předložka), které se staví před [substantivum](#substantivum), se záložky staví za ně; v češtině se nevyskytují	https://cs.wiktionary.org/wiki/záložka, https://cs.wiktionary.org/wiki/postpozice?action=edit&redlink=1
zkratka	viz [Wikipedie](https://cs.wikipedia.org/wiki/Zkratka)	https://cs.wiktionary.org/wiki/zkratka
značka	přesně definovaný grafický symbol (např. [hl](https://cs.wiktionary.org/wiki/hl) — hektolitr, [A](https://cs.wiktionary.org/wiki/A) — ampér, [mf](https://cs.wiktionary.org/wiki/mf) — mezzoforte)	https://cs.wiktionary.org/wiki/značka
znak	věc nebo forma zastupující něco jiného; nejběžněji [slovo](#slovo), dále [víceslovné pojmenování](#víceslovné_pojmenování), též [morfém](#morfém); viz [Wikipedie](https://cs.wikipedia.org/wiki/Znak%20(lingvistika))	https://cs.wiktionary.org/wiki/znak
